时间,商品名称,库存变化,单笔销量
2026-06-09 19:46:41,日本地址,初始销量: -3,3
2026-06-09 19:46:41,国际地址,初始销量: 0,0
2026-06-09 19:46:41,中国地址,初始销量: 0,0
2026-06-09 19:46:41,韩国地址,初始销量: -14,14
2026-06-09 19:52:19,韩国地址,-14->-17,3
2026-06-09 20:46:05,韩国地址,-17->-18,1
2026-06-09 21:23:40,韩国地址,-18->-19,1
2026-06-09 21:48:36,韩国地址,-19->-18,-1
2026-06-09 21:54:05,韩国地址,-18->-22,4
2026-06-09 23:55:07,韩国地址,-22->-23,1
2026-06-10 00:18:18,韩国地址,-23->-25,2
2026-06-10 00:25:05,韩国地址,-25->-26,1
2026-06-10 01:02:50,韩国地址,-26->-27,1
2026-06-10 06:05:43,韩国地址,-27->-26,-1
2026-06-10 06:07:51,国际地址,0->-1,1
2026-06-10 07:30:46,韩国地址,-26->-27,1
2026-06-10 07:48:49,韩国地址,-27->-26,-1
2026-06-10 08:27:08,韩国地址,-26->-27,1
2026-06-10 08:51:49,韩国地址,-27->-29,2
2026-06-10 11:25:36,国际地址,-1->0,-1
2026-06-10 11:42:17,韩国地址,-29->-126,97
2026-06-10 13:11:52,韩国地址,-126->-127,1
2026-06-10 13:40:23,韩国地址,-127->-129,2
2026-06-10 13:49:01,韩国地址,-129->-136,7
2026-06-10 15:05:50,韩国地址,-136->-135,-1
2026-06-10 16:11:05,韩国地址,-135->-136,1
2026-06-10 17:27:29,韩国地址,-136->-139,3
2026-06-10 17:46:00,韩国地址,-139->-42,-97
