时间,商品名称,库存变化,单笔销量
2026-06-09 17:34:40,日本地址,初始销量: 0,0
2026-06-09 17:34:40,国际地址,初始销量: 0,0
2026-06-09 17:34:40,中国地址,初始销量: -1,1
2026-06-09 17:34:40,韩国地址,初始销量: -9,9
2026-06-09 17:40:08,日本地址,0->-8,8
2026-06-09 17:44:22,韩国地址,-9->-10,1
2026-06-09 17:53:56,韩国地址,-10->-14,4
2026-06-09 17:59:18,韩国地址,-14->-22,8
2026-06-09 18:10:02,韩国地址,-22->-23,1
2026-06-09 18:41:43,韩国地址,-23->-25,2
2026-06-09 18:44:53,韩国地址,-25->-34,9
2026-06-09 18:46:59,韩国地址,-34->-35,1
2026-06-09 18:47:31,日本地址,-8->-9,1
2026-06-09 18:55:57,中国地址,-1->-3,2
2026-06-09 19:22:34,日本地址,-9->-17,8
2026-06-09 19:33:35,韩国地址,-35->-34,-1
2026-06-09 19:34:17,日本地址,-17->-9,-8
2026-06-09 19:35:43,韩国地址,-34->-35,1
2026-06-09 19:37:40,中国地址,-3->-4,1
2026-06-09 19:49:41,韩国地址,-35->-36,1
2026-06-09 19:51:39,韩国地址,-36->-38,2
2026-06-09 19:52:54,中国地址,-4->-5,1
2026-06-09 20:26:01,韩国地址,-38->-39,1
2026-06-09 20:35:43,韩国地址,-39->-40,1
2026-06-09 20:37:51,韩国地址,-40->-42,2
2026-06-09 20:43:15,韩国地址,-42->-43,1
